_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
49,49,CVM,CEL-SCI Corporation,Healthcare,Biotechnology,USA,348.65M,-,7.96,2.84%,"894,998"
50,50,KLR,"Kaleyra, Inc.",Communication Services,Telecom Services,Italy,339.20M,-,10.63,-2.57%,"183,889"
51,51,MTA,Metalla Royalty & Streaming Ltd.,Basic Materials,Other Precious Metals & Mining,Canada,329.69M,-,7.90,0.00%,"114,724"
52,52,LEU,Centrus Energy Corp.,Energy,Uranium,USA,322.71M,-,23.25,-5.56%,"43,421"
53,53,RLGT,"Radiant Logistics, Inc.",Industrials,Integrated Freight & Logistics,USA,320.42M,19.08,6.20,0.32%,"106,168"
54,54,PLM,PolyMet Mining Corp.,Basic Materials,Other Industrial Metals & Mining,USA,318.99M,-,3.10,-5.49%,"136,294"
55,55,GSS,Golden Star Resources Ltd.,Basic Materials,Gold,Canada,317.88M,52.82,2.06,-1.90%,"236,315"
56,56,AXU,Alexco Resource Corp.,Basic Materials,Other Precious Metals & Mining,Canada,315.57M,-,2.04,-4.67%,"485,352"
57,57,GOED,1847 Goedeker Inc.,Consumer Cyclical,Internet Retail,USA,309.80M,-,2.86,-2.05%,"6,638,419"
58,58,TMQ,Trilogy Metals Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,304.46M,-,2.11,-5.80%,"176,656"
59,59,IBIO,"iBio, Inc.",Healthcare,Biotechnology,USA,287.15M,-,1.24,0.81%,"3,984,780"
60,60,FTSI,"FTS International, Inc.",Energy,Oil & Gas Equipment & Services,USA,285.93M,-,20.15,-5.58%,"75,775"
61,61,AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,283.80M,-,1.34,-2.90%,"2,614,666"
62,62,REI,"Ring Energy, Inc.",Energy,Oil & Gas E&P,USA,267.29M,-,2.51,-3.83%,"814,825"
63,63,LSF,"Laird Superfood, Inc.",Consumer Defensive,Packaged Foods,USA,256.85M,-,28.35,1.32%,"36,289"
64,64,ZDGE,"Zedge, Inc.",Technology,Software - Application,USA,249.15M,40.78,17.29,-1.59%,"179,294"
65,65,VHAQ,Viveon Health Acquisition Corp.,Financial,Shell Companies,USA,248.79M,-,9.92,0.00%,"28,183"
66,66,ID,"PARTS iD, Inc.",Consumer Cyclical,Auto Parts,USA,248.18M,-,7.66,-1.92%,"73,360"
67,67,WRN,Western Copper and Gold Corporation,Basic Materials,Other Industrial Metals & Mining,Canada,247.15M,-,1.82,-2.67%,"258,909"
68,68,CIX,CompX International Inc.,Industrials,Security & Protection Services,USA,245.59M,22.50,19.60,-2.78%,"3,750"
69,69,EMX,EMX Royalty Corporation,Basic Materials,Other Industrial Metals & Mining,Canada,233.81M,-,2.73,-0.73%,"75,381"
70,70,GTE,Gran Tierra Energy Inc.,Energy,Oil & Gas E&P,Canada,226.97M,-,0.61,-0.69%,"1,955,313"
71,71,PLG,Platinum Group Metals Ltd.,Basic Materials,Other Precious Metals & Mining,Canada,223.31M,-,2.91,-2.68%,"321,324"
72,72,DLA,"Delta Apparel, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,222.60M,-,31.09,-1.80%,"4,052"
73,73,NAK,Northern Dynasty Minerals Ltd.,Basic Materials,Other Industrial Metals & Mining,Canada,220.97M,-,0.41,-2.19%,"2,090,510"
74,74,URG,Ur-Energy Inc.,Energy,Uranium,USA,219.68M,-,1.14,-2.56%,"1,728,885"
